NEpisode,EpisodeLenght,EpisodeSteps,Accident,TotalNGoal,NGoalNorth,NGoalSouth,TotalNCarGenerated,NCarGeneratedNorth,NCarGeneratedSouth,TotalNCarBeenWaiting,NCarBeenWaitingNorth,NCarBeenWaitingSouth,TotalAVGTimeToPass,AVGTimeToPassNorth,AVGTimeToPassSouth,TotalAVGTimeWaited,AVGTimeWaitedNorth,AVGTimeWaitedSouth
1,46,2300,False,10,5,5,10,5,5,5,3,2,9.23,8.93,9.53,1.84,2.45,1.23
2,33.67,1683,False,10,5,5,10,5,5,6,3,3,9.23,9.33,9.13,2.31,2.42,2.21
3,36.33,1817,False,10,5,5,10,5,5,5,2,3,9.27,8.53,10,2.8,2.34,3.26
4,37.33,1867,False,10,5,5,10,5,5,5,3,2,9.3,9.2,9.4,1.97,2.61,1.33
5,40.67,2033,False,10,5,5,10,5,5,6,4,2,10.17,9.67,10.67,2.95,3.94,1.95
6,36.67,1833,False,10,5,5,10,5,5,4,2,2,10.13,11.07,9.2,4.35,5.45,3.26
7,38.67,1934,False,10,5,5,10,5,5,4,2,2,8.47,7.73,9.2,1.28,0.71,1.85
8,34.67,1733,False,10,5,5,10,5,5,6,3,3,10.3,9.2,11.4,2.07,0.94,3.2
9,33.67,1683,False,10,5,5,10,5,5,2,1,1,8.53,9.6,7.47,1.76,3.39,0.14
10,34.67,1734,False,10,5,5,10,5,5,4,2,2,10.07,8.53,11.6,3.04,2.42,3.66
11,9.33,466,True,1,1,0,4,2,2,1,0,1,8.67,8.67,NaN,0,0,NaN
12,42,2100,False,10,5,5,10,5,5,4,2,2,9.7,9.33,10.07,2.74,2.26,3.22
13,39,1950,False,10,5,5,10,5,5,5,3,2,10.3,10.87,9.73,3.31,5.68,0.94
14,39,1950,False,10,5,5,10,5,5,6,3,3,8.97,8.13,9.8,2.02,1.63,2.41
15,40,2000,False,10,5,5,10,5,5,5,3,2,10.8,10.13,11.47,4.07,5.22,2.91
16,40.67,2034,False,10,5,5,10,5,5,4,2,2,9.2,8.93,9.47,2.65,2.54,2.75
17,38.67,1933,False,10,5,5,10,5,5,7,3,4,10.07,9.53,10.6,3.99,2.57,5.41
18,31,1550,False,10,5,5,10,5,5,7,2,5,10.17,9.6,10.73,3.97,2.52,5.42
19,36.33,1817,False,10,5,5,10,5,5,4,4,0,8.67,10.4,6.93,2.67,5.34,0
20,35.67,1783,False,10,5,5,10,5,5,5,2,3,10.77,9.07,12.47,3.52,2.52,4.52
21,34.33,1717,False,10,5,5,10,5,5,5,2,3,10.33,9.93,10.73,4.04,3.78,4.3
22,12.33,616,True,2,2,0,7,4,3,3,2,1,7.17,7.17,NaN,0,0,NaN
23,36.67,1834,False,10,5,5,10,5,5,5,3,2,10.73,10.93,10.53,4.38,5.57,3.18
